posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,5,10,0,57.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,21,1,9,1,26.0,0
30,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,3,19,7,11,1,65.0,1
30,SNOW,DARKNESS,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,20,6,12,1,53.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,6,10,1,40.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,5,6,0,79.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,21,6,6,0,22.0,0
30,UNKNOWN,DAWN,STRAIGHT AND LEVEL,UNKNOWN,2,4,1,6,1,69.0,0
0,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,7,5,0,49.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,15,6,8,1,37.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,2,5,1,41.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,2,6,1,40.0,0
30,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,1,11,3,10,1,61.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,3,7,1,39.0,0
25,FOG/SMOKE/HAZE,DAYLIGHT,STRAIGHT ON HILLCREST,DRY,2,7,2,8,0,67.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,4,12,0,34.0,0
0,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,9,7,12,1,21.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,5,3,1,43.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,14,5,1,1,51.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,1,7,1,21.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,19,5,9,0,21.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,4,6,0,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,17,6,6,0,30.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,5,12,1,44.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,6,8,1,28.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,6,7,1,66.0,0
